"Andrew Haigh",,,,
"Dafydd Meurig",,,,
"Emily Owen","Q75621706","2019 United Kingdom general election","Aberconwy","Labour Party"
"Jason Edwards","Q75838917","2019 United Kingdom general election","Aberconwy","Liberal Democrats"
"Lisa Goodier","Q76130957","2019 United Kingdom general election","Aberconwy","Plaid Cymru"
"Louise Wynne Jones",,,,
"Mary Wimbury","Q63929034","2019 European Parliament election in Wales","Wales","Labour Party"
"Mary Wimbury","Q63929034","2019 United Kingdom general election","Wrexham","Labour Co-operative"
"Mike Priestley",,,,
"Mike Wieteska",,,,
"Petra Haig",,,,
"Phil Edwards",,,,
"Ronnie Hughes",,,,
"Sarah Leister-Burgess",,,,
"Victor Babu",,,,
"Wyn Elis Jones",,,,
