foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q260772,Guto Bebb,Q9626,Conservative Party (UK),10734,Q215622,General election 2010,1
,,Ronnie Hughes,Q9630,Labour Party (UK),7336,Q215622,General election 2010,2
,,Mike Priestley,Q9624,Liberal Democrats (UK),5786,Q215622,General election 2010,3
,,Phil Edwards,Q10691,Plaid Cymru,5341,Q215622,General election 2010,4
,,Mike Wieteska,Q10647,UK Independence Party,632,Q215622,General election 2010,5
,,Louise Wynne Jones,Q3402978,Christian Party (UK),137,Q215622,General election 2010,6
,Q260772,Guto Bebb,Q9626,Conservative Party (UK),12513,Q3586935,General election 2015,1
Q63929034,,Mary Wimbury,Q9630,Labour Party (UK),8514,Q3586935,General election 2015,2
,,Dafydd Meurig,Q10691,Plaid Cymru,3536,Q3586935,General election 2015,3
,,Andrew Haigh,Q10647,UK Independence Party,3467,Q3586935,General election 2015,4
,,Victor Babu,Q7981939,Welsh Liberal Democrats,1391,Q3586935,General election 2015,5
,,Petra Haig,Q9669,Green Party of England and Wales,727,Q3586935,General election 2015,6
,Q260772,Guto Bebb,Q7981882,Welsh Conservative Party,14337,Q25052149,General election 2017,1
Q75621706,,Emily Owen,Q832685,Welsh Labour Party,13702,Q25052149,General election 2017,2
,,Wyn Elis Jones,Q10691,Plaid Cymru,3170,Q25052149,General election 2017,3
,,Sarah Leister-Burgess,Q7981939,Welsh Liberal Democrats,941,Q25052149,General election 2017,4
,Q76450637,Robin Millar,Q7981882,Welsh Conservative Party,14687,Q30173038,General election 2019,1
Q75621706,,Emily Owen,Q832685,Welsh Labour Party,12653,Q30173038,General election 2019,2
Q76130957,,Lisa Goodier,Q10691,Plaid Cymru,2704,Q30173038,General election 2019,3
Q75838917,,Jason Edwards,Q7981939,Welsh Liberal Democrats,1821,Q30173038,General election 2019,4
